airline_id,name,alias,code,callsign,country,active
1365,Blue Islands,\N,BCI,BLUE ISLAND,United Kingdom,False
1366,British Caribbean Airways,\N,BCL,,United Kingdom,False
1367,British Charter,\N,BCR,BACKER,United Kingdom,False
1368,BCT Aviation,\N,BCT,BOBCAT,United Kingdom,False
1369,Business Aviation Center,\N,BCV,BUSINESS AVIATION,Ukraine,False
1370,Blue Dart Aviation,\N,BDA,BLUE DART,India,False
1371,B&H Airlines,\N,BON,Air Bosna,Bosnia and Herzegovina,False
1372,Bissau Discovery Flying Club,\N,BDF,BISSAU DISCOVERY,Guinea-Bissau,False
1373,Belgian Army,\N,AYB,BELGIAN ARMY,Belgium,False
1374,Badr Airlines,\N,BDR,BADR AIR,Sudan,False
1375,Best Aviation Ltd,\N,BEA,BEST AIR,Bangladesh,False
1376,Belgorod Aviation Enterprise,\N,BED,BELOGORYE,Russia,False
1377,Bar Harbor Airlines,\N,AJC,BAR HARBOR,United States,False
1378,Balear Express,\N,BEF,BALEAR EXPRESS,Spain,False
1379,Bel Air Helicopters,\N,BEH,BLUECOPTER,Denmark,False
1380,Berkut Air,\N,BEK,BERKUT,Kazakhstan,False
1381,BETA - Brazilian Express Transportes Aereos,\N,BET,BETA CARGO,Brazil,False
1382,Basler Flight Service,\N,BFC,BASLER,United States,False
1383,Bear Flight,\N,BFG,BEARFLIGHT,Sweden,False
1384,Buffalo Airways,\N,BFL,BUFFALO,Canada,False
1385,Bombardier,\N,BFO,BOMBARDIER,Canada,False
1386,Burkina Airlines,\N,BFR,BURKLINES,Burkina Faso,False
1387,Business Flight Sweden,\N,BFS,BUSINESS FLIGHT,Sweden,False
1388,Bahrain Defence Force,\N,BFW,SUMMAN,Bahrain,False
1389,BH Air,\N,BGH,BALKAN HOLIDAYS,Bulgaria,False
1390,British Gulf International,\N,BGI,BRITISH GULF,S,False
1391,British Gulf International-Fez,\N,BGK,GULF INTER,Kyrgyzstan,False
1392,Benin Golf Air,\N,BGL,BENIN GOLF,Benin,False
1393,Bugulma Air Enterprise,\N,BGM,BUGAVIA,Russia,False
1394,Budget Air Bangladesh,\N,BGR,BUDGET AIR,Bangladesh,False
1395,Bergen Air Transport,\N,BGT,BERGEN AIR,Norway,False
1396,Buddha Air,\N,BHA,BUDDHA AIR,Nepal,False
1397,Balkh Airlines,\N,BHI,SHARIF,Afghanistan,False
1398,Bristow Helicopters,\N,BHL,BRISTOW,United Kingdom,False
1399,Bristow Helicopters Nigeria,\N,BHN,BRISTOW HELICOPTERS,Nigeria,False
1400,Bhoja Airlines,\N,BHO,BHOJA,Pakistan,False
1401,Belair Airlines,\N,BHP,BELAIR,Switzerland,True
1402,Bighorn Airways,\N,BHR,BIGHORN AIR,United States,False
1403,Bahamasair,\N,BHS,BAHAMAS,Bahamas,True
1404,Bright Air,\N,BHT,BRIGHTAIR,Netherlands,False
1405,Bringer Air Cargo Taxi Aereo,\N,,,Brazil,False
1406,Balkan Bulgarian Airlines,\N,,,,True
1407,BA Connect,\N,,,United Kingdom,False
1408,Bosphorus European Airways,\N,BHY,BOSPHORUS,Turkey,False
1409,Binair,\N,BID,BINAIR,Germany,False
1410,Big Island Air,\N,BIG,BIG ISLE,United States,False
1411,British International Helicopters,\N,BIH,BRINTEL,United Kingdom,True
1412,Billund Air Center,\N,BIL,BILAIR,Denmark,False
1413,Boise Interagency Fire Center,\N,BIN,BISON-AIR,United States,False
