name,description,turbulence_category,designator,manufacturer,type,engine_count,engine_type
Dornier 328JET,L2J,M,J328,328 SUPPORT SERVICES,LandPlane,2,Jet
450 Ultra,L1P,L,UL45,3XTRIM,LandPlane,1,Piston
Ultra,L1P,L,UL45,3XTRIM,LandPlane,1,Piston
550 Trener,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
Trener  ,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
3X-47 Ultra,L1P,L,UL45,3XTRIM,LandPlane,1,Piston
3X-55 Trener,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
3X-LS Navigator 600,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
Navigator 600,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
Ellipse Spirit,L1P,L,ELSP,A2 CZ,LandPlane,1,Piston
VNS-41,A2P,L,CE22,A-41,Amphibian,2,Piston
SeaStar,A1P,L,PETR,AAC,Amphibian,1,Piston
Bushman,L1P,L,BMAN,AAK,LandPlane,1,Piston
Hornet,L1P,L,HRNT,AAK,LandPlane,1,Piston
Wasp,L1P,L,WSP,AAK,LandPlane,1,Piston
Flamingo,L1P,L,FMGO,AAK,LandPlane,1,Piston
A-9 Quail,L1P,L,A9,AAMSA,LandPlane,1,Piston
Quail,L1P,L,A9,AAMSA,LandPlane,1,Piston
Jetcruzer,L1T,L,JCRU,AASI,LandPlane,1,Turboprop/Turboshaft
Gazelle,H1T,L,GAZL,ABHCO,Helicopter,1,Turboprop/Turboshaft
SA-342 Gazelle,H1T,L,GAZL,ABHCO,Helicopter,1,Turboprop/Turboshaft
RF-9,L1P,L,RF9,ABS,LandPlane,1,Piston
Xenon,G1P,L,XNON,ABS AEROLIGHT,Gyrocopter,1,Piston
ACBA-8 Midour 2,L1P,L,MIDR,ACBA,LandPlane,1,Piston
Midour 2,L1P,L,MIDR,ACBA,LandPlane,1,Piston
Junior Ace,L1P,L,JACE,ACE,LandPlane,1,Piston
Super Ace,L1P,L,SACE,ACE,LandPlane,1,Piston
A-200 Aeriks 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
A-200 Aeris 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
Aeriks 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
Aeris 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
Cuby 2,L1P,L,CUB2,ACES HIGH,LandPlane,1,Piston
Acro-Sport 1,L1P,L,ACRO,ACRO SPORT,LandPlane,1,Piston
Acro-Sport 2,L1P,L,ACR2,ACRO SPORT,LandPlane,1,Piston
Cougar,L1P,L,COUG,ACRO SPORT,LandPlane,1,Piston
Junior Ace,L1P,L,JACE,ACRO SPORT,LandPlane,1,Piston
Super Ace,L1P,L,SACE,ACRO SPORT,LandPlane,1,Piston
Super Acro-Sport,L1P,L,ACRO,ACRO SPORT,LandPlane,1,Piston
ACS-100 Sora,L1P,L,SORA,ACS (1),LandPlane,1,Piston
Sora,L1P,L,SORA,ACS (1),LandPlane,1,Piston
Skyleader 600,L1P,L,J600,ACS (2),LandPlane,1,Piston
JA-600 Skyleader 600,L1P,L,J600,ACS (2),LandPlane,1,Piston
T-211,L1P,L,T211,AD AEROSPACE,LandPlane,1,Piston
LCA Tejas,L1J,M,LCA,ADA,LandPlane,1,Jet
Tejas,L1J,M,LCA,ADA,LandPlane,1,Jet
Loisirs,L1P,L,RA14,ADAM (1),LandPlane,1,Piston
RA-14 Loisirs,L1P,L,RA14,ADAM (1),LandPlane,1,Piston
RA-17,L1P,L,RA17,ADAM (1),LandPlane,1,Piston
A-500,L2P,L,A500,ADAM (2),LandPlane,2,Piston
A-500 CarbonAero,L2P,L,A500,ADAM (2),LandPlane,2,Piston
A-700 AdamJet,L2J,L,A700,ADAM (2),LandPlane,2,Jet
AdamJet,L2J,L,A700,ADAM (2),LandPlane,2,Jet
CarbonAero,L2P,L,A500,ADAM (2),LandPlane,2,Piston
T-211,L1P,L,T211,ADAMS,LandPlane,1,Piston
Mallard,A1P,L,BUCA,ADVANCED AEROMARINE,Amphibian,1,Piston
Regent 1500,L2T,L,C21T,ADVANCED AIRCRAFT,LandPlane,2,Turboprop/Turboshaft
Spirit 750,L1T,L,C10T,ADVANCED AIRCRAFT,LandPlane,1,Turboprop/Turboshaft
Turbine P210,L1T,L,C10T,ADVANCED AIRCRAFT,LandPlane,1,Turboprop/Turboshaft
Buccaneer,A1P,L,BUCA,ADVANCED AVIATION,Amphibian,1,Piston
Adventurer,A1P,L,ADVN,ADVENTURE AIR,Amphibian,1,Piston
Explorer 500T,L1T,L,EX5T,AEA,LandPlane,1,Turboprop/Turboshaft
Maverick,L1P,L,MAVR,AEA,LandPlane,1,Piston
AM-3,L1P,L,AM3,AERFER-AERMACCHI,LandPlane,1,Piston
AMX Ghibli,L1J,M,AMX,AERITALIA,LandPlane,1,Jet
G-222,L2T,M,G222,AERITALIA,LandPlane,2,Turboprop/Turboshaft
Ghibli,L1J,M,AMX,AERITALIA,LandPlane,1,Jet
Tornado,L2J,M,TOR,AERITALIA,LandPlane,2,Jet
AM-3,L1P,L,AM3,AERITALIA-AERMACCHI,LandPlane,1,Piston
AL-60,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
AL-60 Conestoga,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
AL-60 Trojan,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
AMX Ghibli,L1J,M,AMX,AERMACCHI,LandPlane,1,Jet
Conestoga,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
Ghibli,L1J,M,AMX,AERMACCHI,LandPlane,1,Jet
F-260F,L1P,L,F260,AERMACCHI,LandPlane,1,Piston
M-290TP Redigo,L1T,L,L90,AERMACCHI,LandPlane,1,Turboprop/Turboshaft
MB-326,L1J,L,M326,AERMACCHI,LandPlane,1,Jet
MB-339,L1J,L,M339,AERMACCHI,LandPlane,1,Jet
Redigo,L1T,L,L90,AERMACCHI,LandPlane,1,Turboprop/Turboshaft
T-260,L1P,L,F260,AERMACCHI,LandPlane,1,Piston
Trojan,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
F-260E,L1P,L,F260,AERMACCHI,LandPlane,1,Piston
SF-260E,L1P,L,F260,AERMACCHI,LandPlane,1,Piston
SF-260F,L1P,L,F260,AERMACCHI,LandPlane,1,Piston
SF-260T,L1T,L,F26T,AERMACCHI,LandPlane,1,Turboprop/Turboshaft
M-346 Master,L2J,M,M346,AERMACCHI,LandPlane,2,Jet
T-346 Master,L2J,M,M346,AERMACCHI,LandPlane,2,Jet
Master,L2J,M,M346,AERMACCHI,LandPlane,2,Jet
AL-60 Loadmaster,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
AL-60 Turbine Grizzly,L1T,L,LA6T,AERMACCHI,LandPlane,1,Turboprop/Turboshaft
Loadmaster,L1P,L,LA60,AERMACCHI,LandPlane,1,Piston
Turbine Grizzly,L1T,L,LA6T,AERMACCHI,LandPlane,1,Turboprop/Turboshaft
Alti Cruiser,L2P,L,AC72,AERO (1),LandPlane,2,Piston
Commander 500,L2P,L,AC50,AERO (1),LandPlane,2,Piston
Commander 520,L2P,L,AC52,AERO (1),LandPlane,2,Piston
Commander 560,L2P,L,AC56,AERO (1),LandPlane,2,Piston
Commander 680 Super,L2P,L,AC68,AERO (1),LandPlane,2,Piston
Commander 680E,L2P,L,AC68,AERO (1),LandPlane,2,Piston
Commander 680F,L2P,L,AC68,AERO (1),LandPlane,2,Piston
Commander 720 Alti Cruiser,L2P,L,AC72,AERO (1),LandPlane,2,Piston
L-26B Commander 560,L2P,L,AC56,AERO (1),LandPlane,2,Piston
L-26C Commander 680 Super,L2P,L,AC68,AERO (1),LandPlane,2,Piston
U-4A Commander 560,L2P,L,AC56,AERO (1),LandPlane,2,Piston
U-4B Commander 680 Super,L2P,L,AC68,AERO (1),LandPlane,2,Piston
U-9 Commander 680 Super,L2P,L,AC68,AERO (1),LandPlane,2,Piston
45,L2P,L,AE45,AERO (2),LandPlane,2,Piston
Albatros,L1J,L,L39,AERO (2),LandPlane,1,Jet
Albatros 2,L1J,M,L159,AERO (2),LandPlane,1,Jet
Brigadyr,L1P,L,L60,AERO (2),LandPlane,1,Piston
C-104,L1P,L,BU31,AERO (2),LandPlane,1,Piston
CS-102,L1J,L,MG15,AERO (2),LandPlane,1,Jet
Delfin,L1J,L,L29,AERO (2),LandPlane,1,Jet
L-29 Delfin,L1J,L,L29,AERO (2),LandPlane,1,Jet
L-39 Albatros,L1J,L,L39,AERO (2),LandPlane,1,Jet
L-59,L1J,L,L59,AERO (2),LandPlane,1,Jet
L-60 Brigadyr,L1P,L,L60,AERO (2),LandPlane,1,Piston
L-139 Albatros,L1J,L,L39,AERO (2),LandPlane,1,Jet
L-159,L1J,M,L159,AERO (2),LandPlane,1,Jet
L-159  Albatros 2,L1J,M,L159,AERO (2),LandPlane,1,Jet
S-102,L1J,L,MG15,AERO (2),LandPlane,1,Jet
S-103,L1J,L,MG15,AERO (2),LandPlane,1,Jet
Z-131,L1P,L,BU31,AERO (2),LandPlane,1,Piston
Ae-270 Propjet,L1T,L,A270,AERO (2),LandPlane,1,Turboprop/Turboshaft
Propjet,L1T,L,A270,AERO (2),LandPlane,1,Turboprop/Turboshaft
AT-4,L1P,L,AAT4,AERO (3),LandPlane,1,Piston
AT-3,L1P,L,AAT3,AERO (3),LandPlane,1,Piston
P-220-AT2,L1P,L,P220,AERO (3),LandPlane,1,Piston
Aventura 2,A1P,L,AVTR,AERO ADVENTURE,Amphibian,1,Piston
Toucan,L1P,L,ZEP2,AERO ADVENTURE,LandPlane,1,Piston
AB-95,L1P,L,AB95,AERO BOERO,LandPlane,1,Piston
AB-115,L1P,L,AB11,AERO BOERO,LandPlane,1,Piston
AB-150,L1P,L,AB15,AERO BOERO,LandPlane,1,Piston
AB-180,L1P,L,AB18,AERO BOERO,LandPlane,1,Piston
100 Commander 100,L1P,L,VO10,AERO COMMANDER,LandPlane,1,Piston
200 Commander 200,L1P,L,M200,AERO COMMANDER,LandPlane,1,Piston
500 Commander 500,L2P,L,AC50,AERO COMMANDER,LandPlane,2,Piston
560 Commander 560,L2P,L,AC56,AERO COMMANDER,LandPlane,2,Piston
680F Commander 680F,L2P,L,AC68,AERO COMMANDER,LandPlane,2,Piston
680FL Grand Commander,L2P,L,AC6L,AERO COMMANDER,LandPlane,2,Piston
680FP Commander 680FP,L2P,L,AC68,AERO COMMANDER,LandPlane,2,Piston
680T Turbo Commander,L2T,L,AC80,AERO COMMANDER,LandPlane,2,Turboprop/Turboshaft
680V Turbo Commander,L2T,L,AC80,AERO COMMANDER,LandPlane,2,Turboprop/Turboshaft
1121 Jet Commander,L2J,M,JCOM,AERO COMMANDER,LandPlane,2,Jet
A-9 Ag Commander,L1P,L,A9,AERO COMMANDER,LandPlane,1,Piston
Ag Commander (A-9),L1P,L,A9,AERO COMMANDER,LandPlane,1,Piston
Ag Commander (B-1),L1P,L,CLB1,AERO COMMANDER,LandPlane,1,Piston
Ag Commander (S-2),L1P,L,SS2P,AERO COMMANDER,LandPlane,1,Piston
B-1 Ag Commander,L1P,L,CLB1,AERO COMMANDER,LandPlane,1,Piston
Commander 100,L1P,L,VO10,AERO COMMANDER,LandPlane,1,Piston
Commander 200,L1P,L,M200,AERO COMMANDER,LandPlane,1,Piston
Commander 500,L2P,L,AC50,AERO COMMANDER,LandPlane,2,Piston
Commander 560,L2P,L,AC56,AERO COMMANDER,LandPlane,2,Piston
Commander 680F,L2P,L,AC68,AERO COMMANDER,LandPlane,2,Piston
Commander 680FP,L2P,L,AC68,AERO COMMANDER,LandPlane,2,Piston
Grand Commander,L2P,L,AC6L,AERO COMMANDER,LandPlane,2,Piston
Jet Commander,L2J,M,JCOM,AERO COMMANDER,LandPlane,2,Jet
S-2 Ag Commander,L1P,L,SS2P,AERO COMMANDER,LandPlane,1,Piston
Turbo Commander (680),L2T,L,AC80,AERO COMMANDER,LandPlane,2,Turboprop/Turboshaft
Pulsar,L1P,L,PULS,AERO DESIGNS,LandPlane,1,Piston
Yo-Yo,H1P,L,R22,AERO ELI,Helicopter,1,Piston
Sea Hawker,A1P,L,AGSH,AERO GARE,Amphibian,1,Piston
Petrel,L1P,L,PETL,AERO ITBA,LandPlane,1,Piston
RF-5 Serrania,L1P,L,RF5,AERO JAEN,LandPlane,1,Piston
Serrania,L1P,L,RF5,AERO JAEN,LandPlane,1,Piston
Scub,L1P,L,SCUB,AERO KUHLMANN,LandPlane,1,Piston
358 Gavilan,L1P,L,GAVI,AERO MERCANTIL,LandPlane,1,Piston
Gavilan,L1P,L,GAVI,AERO MERCANTIL,LandPlane,1,Piston
TC-2,L1P,L,TC2,AERO MIRAGE,LandPlane,1,Piston
G-164 Super Ag Max,L1P,L,G164,AERO MOD,LandPlane,1,Piston
Super Ag Max,L1P,L,G164,AERO MOD,LandPlane,1,Piston
Guepard,L1P,L,GUEP,AERO SERVICES,LandPlane,1,Piston
Guepy,L1P,L,GUEP,AERO SERVICES,LandPlane,1,Piston
Super Guepard,L1P,L,GUEP,AERO SERVICES,LandPlane,1,Piston
Guêpe ,L1P,L,GEPE,AERO SERVICES,LandPlane,1,Piston
377SGT Super Guppy,L4T,M,SGUP,AERO SPACELINES,LandPlane,4,Turboprop/Turboshaft
Super Guppy,L4T,M,SGUP,AERO SPACELINES,LandPlane,4,Turboprop/Turboshaft
Quasar Lite,L1P,L,QUAS,AEROALCOOL,LandPlane,1,Piston
Fantasy,L1P,L,MX80,AEROANDINA,LandPlane,1,Piston
MXP-800 Fantasy,L1P,L,MX80,AEROANDINA,LandPlane,1,Piston
MXP-1000 Tayrona,L1P,L,MX1T,AEROANDINA,LandPlane,1,Piston
Tayrona,L1P,L,MX1T,AEROANDINA,LandPlane,1,Piston
MXP-158 Embera,L1P,L,MX58,AEROANDINA,LandPlane,1,Piston
Embera,L1P,L,MX58,AEROANDINA,LandPlane,1,Piston
MXP-150 Kimbaya,L1P,L,MX1T,AEROANDINA,LandPlane,1,Piston
Kimbaya,L1P,L,MX1T,AEROANDINA,LandPlane,1,Piston
MXP-100 Aventura,L1P,L,MX10,AEROANDINA,LandPlane,1,Piston
Aventura,L1P,L,MX10,AEROANDINA,LandPlane,1,Piston
Okhotnik,G1P,L,OKHO,AERO-ASTRA,Gyrocopter,1,Piston
Bravo,L1P,L,CH70,AEROBRAVO,LandPlane,1,Piston
AeroCanard,L1P,L,COZY,AEROCAD,LandPlane,1,Piston
Aerocar,L1P,L,CAR,AEROCAR,LandPlane,1,Piston
Coot,A1P,L,COOT,AEROCAR,Amphibian,1,Piston
Mini-Imp,L1P,L,MIMP,AEROCAR,LandPlane,1,Piston
Super Coot,A1P,L,COOT,AEROCAR,Amphibian,1,Piston
CA-3 Comp Air 3,L1P,L,CA3,AEROCOMP,LandPlane,1,Piston
CA-4 Comp Air 4,L1P,L,CA4,AEROCOMP,LandPlane,1,Piston
CA-4 Comp Monster,L1P,L,CA4,AEROCOMP,LandPlane,1,Piston
CA-6 Comp Air 6,L1P,L,CA6,AEROCOMP,LandPlane,1,Piston
CA-7P Comp Air 7P,L1P,L,CA7P,AEROCOMP,LandPlane,1,Piston
CA-7SL Comp Air 7SL,L1P,L,CA7P,AEROCOMP,LandPlane,1,Piston
CA-7SLX Comp Air 7SLX,L1T,L,CA7T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
CA-7T Comp Air 7T,L1T,L,CA7T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
CA-8 Comp Air 8,L1T,L,CA8,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
CA-10 Comp Air 10,L1P,L,CA1P,AEROCOMP,LandPlane,1,Piston
CA-10T  Comp Air 10T,L1T,L,CA1T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
CA-10XLT Comp Air 10XLT,L1T,L,CA1T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
Comp Air 3,L1P,L,CA3,AEROCOMP,LandPlane,1,Piston
Comp Air 4,L1P,L,CA4,AEROCOMP,LandPlane,1,Piston
Comp Air 6,L1P,L,CA6,AEROCOMP,LandPlane,1,Piston
Comp Air 7P,L1P,L,CA7P,AEROCOMP,LandPlane,1,Piston
Comp Air 7SL,L1P,L,CA7P,AEROCOMP,LandPlane,1,Piston
Comp Air 7SLX,L1T,L,CA7T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
Comp Air 7T,L1T,L,CA7T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
Comp Air 8,L1T,L,CA8,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
Comp Air 10,L1P,L,CA1P,AEROCOMP,LandPlane,1,Piston
Comp Air 10T,L1T,L,CA1T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
Comp Monster,L1P,L,CA4,AEROCOMP,LandPlane,1,Piston
E-Z Flyer,L1P,L,EZFL,AEROCOMP,LandPlane,1,Piston
Merlin,L1P,L,MAME,AEROCOMP,LandPlane,1,Piston
Comp Air 10XLT,L1T,L,CA1T,AEROCOMP,LandPlane,1,Turboprop/Turboshaft
Sea Hawker,A1P,L,AGSH,AERO-COMPOSITES,Amphibian,1,Piston
Compostela,L1P,L,D11,AERO-DIFUSION,LandPlane,1,Piston
D-112 Popuplane,L1P,L,D11,AERO-DIFUSION,LandPlane,1,Piston
D-119 Popuplane,L1P,L,D11,AERO-DIFUSION,LandPlane,1,Piston
D-1190S Compostela,L1P,L,D11,AERO-DIFUSION,LandPlane,1,Piston
Popuplane,L1P,L,D11,AERO-DIFUSION,LandPlane,1,Piston
G-802 Orion,L1P,L,G800,AERODIS,LandPlane,1,Piston
Orion,L1P,L,G800,AERODIS,LandPlane,1,Piston
Evolution,L1P,L,J177,AERODYNOS,LandPlane,1,Piston
JA-177 Evolution,L1P,L,J177,AERODYNOS,LandPlane,1,Piston
JA-177 Pingouin,L1P,L,J177,AERODYNOS,LandPlane,1,Piston
Pingouin,L1P,L,J177,AERODYNOS,LandPlane,1,Piston
Embera,L1P,L,MX58,AERO-EAST-EUROPE,LandPlane,1,Piston
MXP-155 Tayrona,L1P,L,MX1T,AERO-EAST-EUROPE,LandPlane,1,Piston
Tayrona,L1P,L,MX1T,AERO-EAST-EUROPE,LandPlane,1,Piston
MXP-158 Embera,L1P,L,MX58,AERO-EAST-EUROPE,LandPlane,1,Piston
SILA-450,L1P,L,S450,AERO-EAST-EUROPE,LandPlane,1,Piston
01 Isatis,L1P,L,ISAT,AEROJAMES,LandPlane,1,Piston
Isatis,L1P,L,ISAT,AEROJAMES,LandPlane,1,Piston
D-11,L1P,L,D11,AERO-JODEL,LandPlane,1,Piston
AK-1,H1P,L,ZA6,AEROKOPTER,Helicopter,1,Piston
ZA-6 Sanka,H1P,L,ZA6,AEROKOPTER,Helicopter,1,Piston
Sanka,H1P,L,ZA6,AEROKOPTER,Helicopter,1,Piston
MP-02 Czajka,L1P,L,MP02,AERO-KROS,LandPlane,1,Piston
Czajka,L1P,L,MP02,AERO-KROS,LandPlane,1,Piston
LoCamp,L1P,L,LOCA,AEROLAB,LandPlane,1,Piston
AeroSkiff,A1P,L,SKIF,AEROLITES,Amphibian,1,Piston
F-8L Falco,L1P,L,F8L,AEROMERE,LandPlane,1,Piston
Falco,L1P,L,F8L,AEROMERE,LandPlane,1,Piston
AMT-100 Ximango,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
AMT-200 Super Ximango,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
AMT-300 Turbo Ximango Shark,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
AMT-600 Guri,L1P,L,GURI,AEROMOT,LandPlane,1,Piston
Guri,L1P,L,GURI,AEROMOT,LandPlane,1,Piston
Super Ximango,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
TG-14 Super Ximango,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
Turbo Ximango Shark,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
Ximango,L1P,L,RF10,AEROMOT,LandPlane,1,Piston
7AC Champion,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
7BCM,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
7CC Champion,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
7CCM,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
7DC Champion,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
7EC Traveler,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
11 Chief,L1P,L,AR11,AERONCA,LandPlane,1,Piston
15 Sedan,L1P,L,AR15,AERONCA,LandPlane,1,Piston
Champion,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
L-16,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
Sedan,L1P,L,AR15,AERONCA,LandPlane,1,Piston
Traveler,L1P,L,CH7A,AERONCA,LandPlane,1,Piston
Chief (11),L1P,L,AR11,AERONCA,LandPlane,1,Piston
K Scout,L1P,L,AERK,AERONCA,LandPlane,1,Piston
K Sea Scout,L1P,L,AERK,AERONCA,LandPlane,1,Piston
CF Scout,L1P,L,AERK,AERONCA,LandPlane,1,Piston
Scout,L1P,L,AERK,AERONCA,LandPlane,1,Piston
Sea  Scout,L1P,L,AERK,AERONCA,LandPlane,1,Piston
50 Chief,L1P,L,AR50,AERONCA,LandPlane,1,Piston
Chief (50),L1P,L,AR50,AERONCA,LandPlane,1,Piston
65 Super Chief,L1P,L,AR65,AERONCA,LandPlane,1,Piston
Super Chief,L1P,L,AR65,AERONCA,LandPlane,1,Piston
50 Tandem,L1P,L,AR5T,AERONCA,LandPlane,1,Piston
Tandem (50),L1P,L,AR5T,AERONCA,LandPlane,1,Piston
60 Tandem,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
Tandem (60),L1P,L,AR6T,AERONCA,LandPlane,1,Piston
65 Tandem,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
Tandem (65),L1P,L,AR6T,AERONCA,LandPlane,1,Piston
65 Defender,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
Defender,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
YO-58 Grasshopper,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
O-58 Grasshopper,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
L-3 Grasshopper,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
Grasshopper,L1P,L,AR6T,AERONCA,LandPlane,1,Piston
Airelle,L2P,L,AIRL,AERONIX,LandPlane,2,Piston
Legend,L1P,L,LGND,AEROPILOT,LandPlane,1,Piston
LAK-X,L1P,L,LAKX,AEROPLASTIKA,LandPlane,1,Piston
A-19,L1P,L,A19,AEROPRACT,LandPlane,1,Piston
A-21 Solo,L1P,L,A21,AEROPRACT,LandPlane,1,Piston
A-23 Dragon,L1P,L,A23,AEROPRACT,LandPlane,1,Piston
A-25 Breeze,A1P,L,A25,AEROPRACT,Amphibian,1,Piston
A-27,L1P,L,A27,AEROPRACT,LandPlane,1,Piston
A-33,L1P,L,A33,AEROPRACT,LandPlane,1,Piston
A-37,L2P,L,AA37,AEROPRACT,LandPlane,2,Piston
Breeze,A1P,L,A25,AEROPRACT,Amphibian,1,Piston
Dragon,L1P,L,A23,AEROPRACT,LandPlane,1,Piston
Solo,L1P,L,A21,AEROPRACT,LandPlane,1,Piston
A-20,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
A-20 Sky Cruiser,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
A-20 Super Cruiser,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
A-20 Varlet,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
A-20 Vista,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
A-22,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
A-22 Foxbat,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
A-22 Valor,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
A-22 Vision,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
A-24 Viking,A1P,L,AP24,AEROPRAKT,Amphibian,1,Piston
A-26 Twin Vista,L2P,L,AP26,AEROPRAKT,LandPlane,2,Piston
A-28 Victor,L2P,L,AP28,AEROPRAKT,LandPlane,2,Piston
A-36 Vulcan,L2P,L,AP36,AEROPRAKT,LandPlane,2,Piston
Foxbat,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
SA-20 Vista,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
SA-26 Twin Vista,L2P,L,AP26,AEROPRAKT,LandPlane,2,Piston
SA-28 Victor,L2P,L,AP28,AEROPRAKT,LandPlane,2,Piston
Sky Cruiser,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
Super Cruiser,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
Twin Vista,L2P,L,AP26,AEROPRAKT,LandPlane,2,Piston
Valor,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
Varlet,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
Victor,L2P,L,AP28,AEROPRAKT,LandPlane,2,Piston
Viking,A1P,L,AP24,AEROPRAKT,Amphibian,1,Piston
Vision,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
Vista,L1P,L,AP20,AEROPRAKT,LandPlane,1,Piston
Vulcan,L2P,L,AP36,AEROPRAKT,LandPlane,2,Piston
A-32 Vixxen,L1P,L,AP32,AEROPRAKT,LandPlane,1,Piston
Vixxen,L1P,L,AP32,AEROPRAKT,LandPlane,1,Piston
A-22 Sharik,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
Sharik,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
A-22 Kelpie,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
Kelpie,L1P,L,AP22,AEROPRAKT,LandPlane,1,Piston
Eurofox,L1P,L,EFOX,AEROPRO,LandPlane,1,Piston
Aist-2,L1P,L,T411,AEROPROGRESS,LandPlane,1,Piston
Grach,L1T,L,T101,AEROPROGRESS,LandPlane,1,Turboprop/Turboshaft
T-101 Grach,L1T,L,T101,AEROPROGRESS,LandPlane,1,Turboprop/Turboshaft
T-411 Aist-2,L1P,L,T411,AEROPROGRESS,LandPlane,1,Piston
Aeropup,L1P,L,APUP,AEROPUP,LandPlane,1,Piston
Dingo,A1T,L,DNGO,AERORIC,Amphibian,1,Turboprop/Turboshaft
Flamingo,L1P,L,UL2F,AEROS,LandPlane,1,Piston
UL-2000 Flamingo,L1P,L,UL2F,AEROS,LandPlane,1,Piston
El'brus,L2P,L,F41E,AEROSAMARA,LandPlane,2,Piston
Katran,L1P,L,KATR,AEROSAMARA,LandPlane,1,Piston
F-41 El'brus,L2P,L,F41E,AEROSAMARA,LandPlane,2,Piston
MH-46 Eclipse,L1P,L,MH46,AEROSETTE,LandPlane,1,Piston
Eclipse,L1P,L,MH46,AEROSETTE,LandPlane,1,Piston
Alouette 2,H1T,L,ALO2,AEROSPATIALE,Helicopter,1,Turboprop/Turboshaft
Alouette 3,H1T,L,ALO3,AEROSPATIALE,Helicopter,1,Turboprop/Turboshaft
AS-332B1 Super Puma,H2T,M,AS32,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
AS-332B Super Puma,H2T,M,AS32,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
AS-332C Super Puma,H2T,M,AS32,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
AS-332F1 Super Puma,H2T,M,AS32,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
AS-332L1 Super Puma,H2T,M,AS32,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
AS-332L2 Super Puma Mk2,H2T,M,AS3B,AEROSPATIALE,Helicopter,2,Turboprop/Turboshaft
