changepoint_prior_scale,mse,mae
0.001,11.131067962789116,2.314216107143859
0.01,2.568705087903877,1.0678951345196874
0.1,2.4595914754492294,0.9740372283054788
0.5,2.4327528172956954,0.9618163516334007
5,2.4473287740034024,0.9633482560089034
10,2.4464427186733224,0.9626392113501153
